<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USD000000TOD,1,20131204,100000,33.2300000,33.2775000,33.2250000,33.2620000,9878000
USD000000TOD,1,20131204,100100,33.2620000,33.2620000,33.2500000,33.2500000,7286000
USD000000TOD,1,20131204,100200,33.2480000,33.2550000,33.2465000,33.2540000,9862000
USD000000TOD,1,20131204,100300,33.2475000,33.2500000,33.2430000,33.2500000,8690000
USD000000TOD,1,20131204,100400,33.2550000,33.2600000,33.2500000,33.2585000,5205000
USD000000TOD,1,20131204,100500,33.2550000,33.2655000,33.2550000,33.2610000,11777000
USD000000TOD,1,20131204,100600,33.2625000,33.2630000,33.2575000,33.2585000,8255000
USD000000TOD,1,20131204,100700,33.2615000,33.2620000,33.2570000,33.2585000,9371000
USD000000TOD,1,20131204,100800,33.2555000,33.2600000,33.2550000,33.2570000,6156000
USD000000TOD,1,20131204,100900,33.2570000,33.2610000,33.2570000,33.2610000,2509000
USD000000TOD,1,20131204,101000,33.2600000,33.2650000,33.2580000,33.2645000,4768000
USD000000TOD,1,20131204,101100,33.2615000,33.2615000,33.2580000,33.2590000,1459000
USD000000TOD,1,20131204,101200,33.2590000,33.2600000,33.2570000,33.2600000,6183000
USD000000TOD,1,20131204,101300,33.2610000,33.2610000,33.2575000,33.2610000,5857000
USD000000TOD,1,20131204,101400,33.2610000,33.2640000,33.2585000,33.2590000,10026000
USD000000TOD,1,20131204,101500,33.2600000,33.2600000,33.2585000,33.2600000,1944000
USD000000TOD,1,20131204,101600,33.2600000,33.2600000,33.2565000,33.2565000,2308000
USD000000TOD,1,20131204,101700,33.2560000,33.2585000,33.2530000,33.2535000,7884000
USD000000TOD,1,20131204,101800,33.2555000,33.2555000,33.2500000,33.2535000,7812000
USD000000TOD,1,20131204,101900,33.2505000,33.2570000,33.2500000,33.2570000,22208000
USD000000TOD,1,20131204,102000,33.2570000,33.2575000,33.2535000,33.2575000,3863000
USD000000TOD,1,20131204,102100,33.2570000,33.2570000,33.2540000,33.2540000,2379000
USD000000TOD,1,20131204,102200,33.2550000,33.2585000,33.2530000,33.2565000,2087000
USD000000TOD,1,20131204,102300,33.2555000,33.2570000,33.2550000,33.2565000,10241000
USD000000TOD,1,20131204,102400,33.2565000,33.2570000,33.2540000,33.2570000,2441000
USD000000TOD,1,20131204,102500,33.2555000,33.2560000,33.2540000,33.2545000,3152000
USD000000TOD,1,20131204,102600,33.2560000,33.2570000,33.2540000,33.2550000,4999000
USD000000TOD,1,20131204,102700,33.2550000,33.2560000,33.2535000,33.2550000,2360000
USD000000TOD,1,20131204,102800,33.2535000,33.2565000,33.2525000,33.2540000,2151000
USD000000TOD,1,20131204,102900,33.2550000,33.2560000,33.2540000,33.2540000,569000
USD000000TOD,1,20131204,103000,33.2560000,33.2560000,33.2515000,33.2540000,6129000
USD000000TOD,1,20131204,103100,33.2540000,33.2560000,33.2525000,33.2560000,12925000
